Hawaii Ocean Time-series : 01-May-2022 22:32:31
https://hahana.soest.hawaii.edu/hot/hot-dogs/ppextraction.html

crn, date, stime, etime, itype, depth, chl, l12, 
#, yymmdd, hhmm, hhmm, , m, mg/m3, mg C/m3, 
 34, 920214,  630, 1900,  1,   45,  0.155,  8.085,
 34, 920214,  630, 1900,  1,   75,  0.142,  2.867,
 34, 920214,  630, 1900,  1,  100,  0.164,  1.157,
 34, 920214,  630, 1900,  1,  125,  0.115,  0.590,
 34, 920214,  630, 1900,  1,  150,  0.056,  0.147,
 34, 920214,  630, 1900,  1,  175,  0.031,  0.047,
 35, 920305,  550, 1900,  1,    5,  0.081,  6.550,
 35, 920305,  550, 1900,  1,   25,  0.078,  7.593,
 35, 920305,  550, 1900,  1,   45,  0.098,  6.060,
 35, 920305,  550, 1900,  1,   75,  0.130,  3.897,
 35, 920305,  550, 1900,  1,  100,  0.119,  0.527,
 35, 920305,  550, 1900,  1,  125,  0.194,  0.780,
 35, 920305,  550, 1900,  1,  150,  0.109,  0.170,
 35, 920305,  550, 1900,  1,  175,  0.034,  0.040,
 36, 920417,  545, 1725,  1,    5,  0.066,  6.617,
 36, 920417,  545, 1725,  1,   25,  0.072,  5.737,
 36, 920417,  545, 1725,  1,   45,  0.085,  4.320,
 36, 920417,  545, 1725,  1,   75,  0.165,  3.563,
 36, 920417,  545, 1725,  1,  100,  0.160,  1.860,
 36, 920417,  545, 1725,  1,  125,  0.206,  0.740,
 36, 920417,  545, 1725,  1,  150,  0.061,  0.123,
 37, 920609,  540, 1845,  1,    5,  0.054,  8.420,
 37, 920609,  540, 1845,  1,   25,  0.053,  8.203,
 37, 920609,  540, 1845,  1,   45,  0.066,  7.005,
 37, 920609,  540, 1845,  1,   75,  0.077,  3.860,
 37, 920609,  540, 1845,  1,  100,  0.121,  2.153,
 37, 920609,  540, 1845,  1,  125,  0.255,  1.597,
 37, 920609,  540, 1845,  1,  150,  0.070,  0.243,
 38, 920705,  553, 2040,  1,    5,  0.049,  4.100,
 38, 920705,  553, 2040,  1,   25,  0.077,  6.090,
 38, 920705,  553, 2040,  1,   45,  0.053,  2.735,
 38, 920705,  553, 2040,  1,   75,  0.186,  4.050,
 38, 920705,  553, 2040,  1,  100,  0.178,  2.327,
 38, 920705,  553, 2040,  1,  125,  0.166,  0.967,
 38, 920705,  553, 2040,  1,  150,  0.064,  0.163,
 38, 920705,  553, 2040,  1,  175,  0.004,  0.057,
 39, 920805,  600, 1750,  1,    5,  0.067,  5.963,
 39, 920805,  600, 1750,  1,   25,  0.073,  6.500,
 39, 920805,  600, 1750,  1,   45,  0.085,  5.170,
 39, 920805,  600, 1750,  1,   75,  0.132,  2.677,
 39, 920805,  600, 1750,  1,  100,  0.246,  2.133,
 39, 920805,  600, 1750,  1,  125,  0.087,  0.293,
 39, 920805,  600, 1750,  1,  150,  0.031,  0.060,
 39, 920805,  600, 1750,  1,  175,  0.013,  0.027,
 40, 920922,  607, 1850,  1,    5,  0.090,  5.803,
 40, 920922,  607, 1850,  1,   25,  0.083,  6.307,
 40, 920922,  607, 1850,  1,   45,  0.103,  5.340,
 40, 920922,  607, 1850,  1,   75,  0.183,  2.703,
 40, 920922,  607, 1850,  1,  100,  0.195,  2.293,
 40, 920922,  607, 1850,  1,  125,  0.055,  0.417,
 40, 920922,  607, 1850,  1,  150,  0.037,  0.060,
 40, 920922,  607, 1850,  1,  175,  0.039,  0.027,
 41, 921019,  622, 1828,  1,    5,  0.086,  7.743,
 41, 921019,  622, 1828,  1,   25,  0.093,  6.997,
 41, 921019,  622, 1828,  1,   45,  0.125,  6.120,
 41, 921019,  622, 1828,  1,   75,  0.321,  3.640,
 41, 921019,  622, 1828,  1,  100,  0.313,  0.790,
 41, 921019,  622, 1828,  1,  125,  0.078, -9.000,
 41, 921019,  622, 1828,  1,  150,  0.025,  0.057,
 41, 921019,  622, 1828,  1,  175,  0.011,  0.030,
 44, 930120,  600, 1820,  1,    5,  0.118,  4.280,
 44, 930120,  600, 1820,  1,   25,  0.180,  5.497,
 44, 930120,  600, 1820,  1,   45,  0.179,  5.097,
 44, 930120,  600, 1820,  1,   75,  0.191,  2.347,
 44, 930120,  600, 1820,  1,  100,  0.198,  0.950,
 44, 930120,  600, 1820,  1,  125,  0.152,  0.260,
 44, 930120,  600, 1820,  1,  150,  0.079,  0.127,
 44, 930120,  600, 1820,  1,  175,  0.084,  0.050,
 45, 930217,  510, 1900,  1,    5,  0.086,  6.387,
 45, 930217,  510, 1900,  1,   25,  0.086,  4.363,
 45, 930217,  510, 1900,  1,   45,  0.081,  4.157,
 45, 930217,  510, 1900,  1,   75,  0.100,  0.467,
 45, 930217,  510, 1900,  1,  100,  0.137,  1.073,
 45, 930217,  510, 1900,  1,  125,  0.088,  0.307,
 45, 930217,  510, 1900,  1,  150,  0.037,  0.093,
 45, 930217,  510, 1900,  1,  175,  0.012,  0.033,
 46, 930415,  658, 1845,  1,    5,  0.075,  6.140,
 46, 930415,  658, 1845,  1,   25,  0.070,  5.443,
 46, 930415,  658, 1845,  1,   45,  0.069,  4.773,
 46, 930415,  658, 1845,  1,   75,  0.091,  3.320,
 46, 930415,  658, 1845,  1,  100,  0.219,  3.710,
 46, 930415,  658, 1845,  1,  125,  0.070,  0.183,
 46, 930415,  658, 1845,  1,  150,  0.077,  0.187,
 46, 930415,  658, 1845,  1,  175,  0.089,  0.167,
 47, 930520,  605, 1945,  1,    5,  0.083,  7.253,
 47, 930520,  605, 1945,  1,   25,  0.090,  7.590,
 47, 930520,  605, 1945,  1,   45,  0.094,  6.603,
 47, 930520,  605, 1945,  1,   75,  0.199,  5.680,
 47, 930520,  605, 1945,  1,  100,  0.203,  2.443,
 47, 930520,  605, 1945,  1,  125,  0.171,  1.323,
 47, 930520,  605, 1945,  1,  150,  0.112,  0.363,
 47, 930520,  605, 1945,  1,  175,  0.042,  0.147,
 49, 930914,  515, 1900,  1,    5,  0.072,  7.967,
 49, 930914,  515, 1900,  1,   25,  0.074,  7.527,
